@relation 20newsgroups-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute atheismCount numeric
@attribute graphicsCount numeric
@attribute spaceCount numeric
@attribute religionCount numeric
@attribute textLength numeric
@attribute averageSentenceLength numeric
@attribute specialCharacterCount numeric
@attribute numberCount numeric
@attribute emailCount numeric
@attribute avgSpecialCharacters numeric
@attribute atheismCalCount numeric
@attribute graphicsCalCount numeric
@attribute spaceCalCount numeric
@attribute religionCalCount numeric
@attribute groupId {Atheism,Graphics,Space,Religion}

@data
35,46,39,36,610,0,22,3,0,27.727273,14,38,26,12,Graphics
26,18,21,25,329,0,9,4,0,36.555556,12,8,12,11,Religion
15,16,14,12,335,0,30,21,2,11.166667,9,69,70,3,Space
80,74,82,76,1316,0,42,2,0,31.333333,49,51,66,36,Atheism
13,14,18,12,207,0,10,1,0,20.7,3,12,13,0,Space
58,40,46,48,681,0,16,0,0,42.5625,29,24,39,11,Atheism
26,26,31,23,776,0,92,4,0,8.434783,12,79,91,15,Space
64,100,75,65,1671,0,149,39,2,11.214765,24,129,79,13,Graphics
26,27,40,28,404,0,10,0,0,40.4,8,9,26,4,Space
21,31,26,21,385,0,17,0,0,22.647059,5,26,16,3,Graphics
48,54,60,49,699,0,29,8,0,24.103448,16,37,56,9,Space
26,36,31,25,480,0,12,42,0,40,4,26,13,1,Graphics
0,0,0,0,88,0,14,18,2,6.285714,0,0,0,0,Graphics
18,16,21,16,186,0,15,0,0,12.4,4,10,19,2,Space
38,56,48,34,856,0,100,4,1,8.56,4,74,62,3,Graphics
13,14,16,12,151,0,3,0,0,50.333333,3,8,10,5,Space
72,92,84,73,1442,0,95,24,0,15.178947,36,67,57,14,Graphics
28,31,35,30,521,0,38,0,0,13.710526,8,15,37,5,Space
16,18,18,16,216,0,12,0,0,18,7,8,9,1,Space
43,40,43,45,739,0,39,15,0,18.948718,19,29,36,13,Religion
11,11,15,10,165,0,5,0,0,33,4,9,18,2,Space
15,15,16,15,268,0,10,24,0,26.8,2,3,15,1,Graphics
8,8,7,7,111,0,4,0,0,27.75,3,5,7,2,Atheism
177,150,161,173,4032,0,138,20,0,29.217391,176,99,176,176,Religion
68,87,77,63,1855,0,44,6,0,42.159091,24,122,116,15,Graphics
26,35,29,26,428,0,27,0,0,15.851852,6,20,15,3,Graphics
167,138,153,167,3626,0,226,5,1,16.044248,101,113,154,84,Religion
15,17,17,13,305,0,16,9,0,19.0625,4,19,11,2,Graphics
11,14,13,10,191,0,18,0,0,10.611111,6,6,4,2,Religion
27,16,16,19,338,0,49,0,1,6.897959,23,18,24,7,Atheism
8,8,8,8,51,0,2,0,0,25.5,2,4,6,1,Religion
17,30,26,14,905,0,126,44,1,7.18254,5,90,72,2,Graphics
111,191,159,105,4389,0,223,24,0,19.681614,49,327,303,26,Graphics
63,48,55,56,908,0,31,0,0,29.290323,57,46,51,35,Atheism
34,34,52,29,868,0,16,0,0,54.25,9,95,132,7,Space
21,17,21,19,325,0,18,0,0,18.055556,15,14,20,7,Atheism
32,25,23,30,434,0,15,0,0,28.933333,29,12,12,19,Atheism
55,55,67,51,1105,0,40,0,0,27.625,33,37,82,11,Space
15,12,13,15,389,0,20,10,1,19.45,9,36,45,11,Atheism
56,60,77,55,1214,0,35,0,0,34.685714,17,34,73,12,Space
114,102,104,107,2225,0,100,0,0,22.25,92,78,90,64,Atheism
9,18,15,8,216,0,5,0,0,43.2,2,24,15,1,Graphics
21,27,21,20,267,0,11,0,0,24.272727,4,17,11,3,Graphics
10,9,7,9,117,0,2,0,0,58.5,6,6,7,3,Atheism
124,96,104,120,2354,0,96,0,0,24.520833,132,74,95,77,Atheism
105,87,92,108,1680,0,42,0,0,40,73,47,82,84,Religion
4,2,3,5,66,0,4,0,0,16.5,4,0,1,3,Religion
40,32,36,40,643,0,17,0,0,37.823529,27,26,31,24,Religion
62,66,69,63,1085,0,69,12,0,15.724638,24,65,76,18,Graphics
52,50,56,50,713,0,22,0,0,32.409091,16,14,47,11,Space
253,199,226,296,11164,0,513,91,1,21.762183,433,1052,1256,662,Religion
1,2,2,1,42,0,4,0,0,10.5,0,5,8,0,Space
16,22,18,15,335,0,5,0,0,67,4,29,20,3,Graphics
84,73,76,83,1241,0,50,10,0,24.82,32,47,77,36,Atheism
12,17,17,12,182,0,3,0,0,60.666667,2,17,16,4,Graphics
20,28,22,19,451,0,29,6,0,15.551724,2,29,16,4,Graphics
25,32,29,25,441,0,20,2,0,22.05,7,28,16,3,Graphics
19,24,21,18,301,0,10,0,1,30.1,1,16,7,1,Graphics
43,51,76,42,933,0,30,6,0,31.1,21,29,77,14,Space
3,3,4,3,26,0,2,0,0,13,3,1,2,1,Atheism
19,28,26,20,496,0,27,14,1,18.37037,1,30,21,4,Graphics
15,19,18,13,239,0,4,1,0,59.75,1,18,11,0,Graphics
25,37,45,24,492,0,19,6,0,25.894737,7,19,37,7,Space
9,16,22,10,466,0,64,12,0,7.28125,0,109,124,1,Graphics
34,35,40,34,451,0,10,2,0,45.1,12,11,38,7,Space
53,45,47,49,848,0,25,0,0,33.92,46,21,38,27,Atheism
26,29,29,25,622,0,65,1,0,9.569231,6,159,153,2,Graphics
31,24,24,30,419,0,15,0,0,27.933333,24,11,16,16,Religion
25,37,28,26,463,0,8,2,0,57.875,5,35,17,3,Graphics
23,21,31,23,407,0,6,1,0,67.833333,8,16,17,4,Space
19,22,25,18,259,0,5,0,0,51.8,5,11,18,3,Space
21,27,22,20,274,0,2,0,0,137,5,34,12,1,Graphics
42,53,60,44,807,0,18,1,0,44.833333,12,42,63,6,Space
37,45,43,36,577,0,15,2,0,38.466667,6,37,27,1,Graphics
31,25,28,33,445,0,13,0,0,34.230769,19,13,18,18,Atheism
25,21,25,25,338,0,33,1,1,10.242424,14,8,18,7,Space
6,7,7,7,206,0,6,10,0,34.333333,5,77,76,1,Graphics
60,46,50,61,1204,0,55,2,0,21.890909,50,31,69,53,Religion
5,4,6,5,66,0,4,0,0,16.5,4,4,4,1,Religion
482,355,421,413,25227,0,604,7,0,41.766556,1158,1007,1208,495,Atheism
107,88,98,116,2441,0,82,9,0,29.768293,76,85,129,98,Religion
15,14,17,15,232,0,8,0,0,29,5,8,16,5,Space
40,37,52,39,746,0,26,11,0,28.692308,15,17,43,13,Space
